Date,Name of the stocks,Transaction Price,Event(Sell/Buy),Total Units
2015-01-05,GSPL.NS,112.69999694824219,BUY,887.0
2015-01-05,GSPL.NS,Close,SELL,887.0
2015-02-13,SBIN.NS,288.0,BUY,359.0
2015-02-13,SBIN.NS,Close,SELL,359.0
2015-02-19,JSWSTEEL.NS,97.87999725341797,BUY,1070.0
2015-02-19,JSWSTEEL.NS,Close,SELL,1070.0
2015-03-10,BHARTIARTL.NS,314.0628967285156,BUY,335.0
2015-03-10,BHARTIARTL.NS,Close,SELL,335.0
2015-03-11,BHARTIARTL.NS,339.7259826660156,BUY,317.0
2015-03-11,BHARTIARTL.NS,Close,SELL,317.0
2015-03-23,GSPL.NS,116.75,BUY,923.0
2015-03-23,GSPL.NS,Close,SELL,923.0
2015-04-01,SAIL.BO,66.80000305175781,BUY,1620.0
2015-04-01,SAIL.BO,Close,SELL,1620.0
2015-04-23,YESBANK.NS,161.0,BUY,675.0
2015-04-23,YESBANK.NS,Close,SELL,675.0
2015-05-11,GSPL.NS,110.0,BUY,992.0
2015-05-11,GSPL.NS,Close,SELL,992.0
2015-05-14,JSWENERGY.BO,105.4000015258789,BUY,1050.0
2015-05-14,JSWENERGY.BO,Close,SELL,1050.0
2015-05-29,BHARTIARTL.NS,369.79632568359375,BUY,299.0
2015-05-29,BHARTIARTL.NS,Close,SELL,299.0
2015-07-16,GSPL.NS,125.75,BUY,884.0
2015-07-16,GSPL.NS,Close,SELL,884.0
2015-08-14,JSWENERGY.BO,69.94999694824219,BUY,1609.0
2015-08-14,JSWENERGY.BO,Close,SELL,1609.0
2015-08-17,JSWSTEEL.NS,90.0,BUY,1260.0
2015-08-17,JSWSTEEL.NS,Close,SELL,1260.0
2015-08-25,TATAMOTORS.NS,308.0,BUY,375.0
2015-08-25,JSWENERGY.BO,61.0,BUY,4.0
2015-08-25,TATAMOTORS.NS,Close,SELL,375.0
2015-08-25,JSWENERGY.BO,Close,SELL,4.0
2015-09-08,YESBANK.NS,131.27999877929688,BUY,894.0
2015-09-08,JSWENERGY.BO,68.69999694824219,BUY,1.0
2015-09-08,YESBANK.NS,Close,SELL,894.0
2015-09-08,JSWENERGY.BO,Close,SELL,1.0
2015-09-10,JSWENERGY.BO,77.0,BUY,1538.0
2015-09-10,JSWENERGY.BO,Close,SELL,1538.0
2015-09-30,JSWENERGY.BO,88.05000305175781,BUY,1360.0
2015-09-30,JSWENERGY.BO,Close,SELL,1360.0
2015-10-14,GSPL.NS,115.19999694824219,BUY,1053.0
2015-10-14,GSPL.NS,Close,SELL,1053.0
2015-10-15,TATAMOTORS.NS,355.29998779296875,BUY,350.0
2015-10-15,TATAMOTORS.NS,Close,SELL,350.0
2015-11-09,TATAMOTORS.NS,374.0,BUY,339.0
2015-11-09,TATAMOTORS.NS,Close,SELL,339.0
2015-12-01,JSWSTEEL.NS,89.19999694824219,BUY,1486.0
2015-12-01,JSWSTEEL.NS,Close,SELL,1486.0
2015-12-14,JSWSTEEL.NS,96.9000015258789,BUY,1375.0
2015-12-14,JSWSTEEL.NS,Close,SELL,1375.0
2015-12-17,SAIL.BO,45.5,BUY,2931.0
2015-12-17,SAIL.BO,Close,SELL,2931.0
2015-12-22,GSPL.NS,128.25,BUY,1044.0
2015-12-22,GSPL.NS,Close,SELL,1044.0
2016-01-05,GSPL.NS,139.75,BUY,969.0
2016-01-05,SAIL.BO,48.0,BUY,2.0
2016-01-05,GSPL.NS,Close,SELL,969.0
2016-01-05,SAIL.BO,Close,SELL,2.0
2016-01-19,JSWENERGY.BO,69.0,BUY,1994.0
2016-01-19,JSWENERGY.BO,Close,SELL,1994.0
2016-01-29,YESBANK.NS,132.60000610351562,BUY,1063.0
2016-01-29,YESBANK.NS,Close,SELL,1063.0
2016-02-05,SAIL.BO,38.54999923706055,BUY,3913.0
2016-02-05,SAIL.BO,Close,SELL,3913.0
2016-02-12,TATAMOTORS.NS,281.0,BUY,540.0
2016-02-12,TATAMOTORS.NS,Close,SELL,540.0
2016-02-15,TATAMOTORS.NS,297.8999938964844,BUY,514.0
2016-02-15,TATAMOTORS.NS,Close,SELL,514.0
2016-03-08,SAIL.BO,40.0,BUY,3874.0
2016-03-08,SAIL.BO,Close,SELL,3874.0
2016-05-27,SBIN.NS,184.0,BUY,866.0
2016-05-27,SBIN.NS,Close,SELL,866.0
2016-06-08,JSWENERGY.BO,72.0,BUY,2238.0
2016-06-08,JSWENERGY.BO,Close,SELL,2238.0
2016-06-09,SAIL.BO,42.54999923706055,BUY,4016.0
2016-06-09,SAIL.BO,Close,SELL,4016.0
2016-06-29,JSWENERGY.BO,80.0999984741211,BUY,2136.0
2016-06-29,JSWENERGY.BO,Close,SELL,2136.0
2016-07-15,NTPC.NS,119.04166412353516,BUY,1439.0
2016-07-15,NTPC.NS,Close,SELL,1439.0
2016-08-12,SBIN.NS,227.0,BUY,784.0
2016-08-12,SBIN.NS,Close,SELL,784.0
2016-08-18,GSPL.NS,143.8000030517578,BUY,1260.0
2016-08-18,GSPL.NS,Close,SELL,1260.0
2016-09-06,TATAMOTORS.NS,556.3499755859375,BUY,328.0
2016-09-06,TATAMOTORS.NS,Close,SELL,328.0
2016-09-07,SAIL.BO,48.75,BUY,3773.0
2016-09-07,SAIL.BO,Close,SELL,3773.0
2016-11-09,DRREDDY.NS,3001.0,BUY,62.0
2016-11-09,DRREDDY.NS,Close,SELL,62.0
2016-11-10,SBIN.NS,267.0,BUY,724.0
2016-11-10,SBIN.NS,Close,SELL,724.0
2016-11-28,BHARTIARTL.NS,276.3717041015625,BUY,700.0
2016-11-28,BHARTIARTL.NS,Close,SELL,700.0
2017-01-05,JSWSTEEL.NS,164.0500030517578,BUY,1186.0
2017-01-05,JSWSTEEL.NS,Close,SELL,1186.0
2017-01-06,JSWENERGY.BO,62.0,BUY,3194.0
2017-01-06,JSWENERGY.BO,Close,SELL,3194.0
2017-01-11,SAIL.BO,53.099998474121094,BUY,3734.0
2017-01-11,SAIL.BO,Close,SELL,3734.0
2017-01-12,NTPC.NS,137.5,BUY,1447.0
2017-01-12,NTPC.NS,Close,SELL,1447.0
2017-01-17,GSPL.NS,137.1999969482422,BUY,1450.0
2017-01-17,GSPL.NS,Close,SELL,1450.0
2017-01-23,SAIL.BO,57.900001525878906,BUY,3449.0
2017-01-23,SAIL.BO,Close,SELL,3449.0
2017-01-30,BHARTIARTL.NS,296.6634216308594,BUY,676.0
2017-01-30,BHARTIARTL.NS,Close,SELL,676.0
2017-02-06,LAURUSLABS.NS,102.0,BUY,1999.0
2017-02-06,LAURUSLABS.NS,Close,SELL,1999.0
2017-02-07,GSPL.NS,157.0,BUY,1348.0
2017-02-07,GSPL.NS,Close,SELL,1348.0
2017-02-22,RELIANCE.NS,541.3683471679688,BUY,393.0
2017-02-22,RELIANCE.NS,Close,SELL,393.0
2017-05-10,BHARTIARTL.NS,308.9670104980469,BUY,723.0
2017-05-10,BHARTIARTL.NS,Close,SELL,723.0
2017-06-28,GSPL.NS,163.8000030517578,BUY,1436.0
2017-06-28,GSPL.NS,Close,SELL,1436.0
2017-07-26,YESBANK.NS,324.94000244140625,BUY,727.0
2017-07-26,YESBANK.NS,Close,SELL,727.0
2017-07-28,JSWENERGY.BO,67.44999694824219,BUY,3506.0
2017-07-28,JSWENERGY.BO,Close,SELL,3506.0
2017-08-28,JSWENERGY.BO,63.04999923706055,BUY,3806.0
2017-08-28,JSWENERGY.BO,Close,SELL,3806.0
2017-09-08,JSWENERGY.BO,67.30000305175781,BUY,3594.0
2017-09-08,JSWENERGY.BO,Close,SELL,3594.0
2017-09-20,BHARTIARTL.NS,340.6441650390625,BUY,723.0
2017-09-20,BHARTIARTL.NS,Close,SELL,723.0
2017-09-21,DRREDDY.NS,2346.25,BUY,106.0
2017-09-21,DRREDDY.NS,Close,SELL,106.0
2017-10-25,SBIN.NS,279.8500061035156,BUY,900.0
2017-10-25,SAIL.BO,62.5,BUY,3.0
2017-10-25,SBIN.NS,Close,SELL,900.0
2017-10-25,SAIL.BO,Close,SELL,3.0
2017-10-26,SAIL.BO,67.4000015258789,BUY,4124.0
2017-10-26,SAIL.BO,Close,SELL,4124.0
2017-11-03,SAIL.BO,80.25,BUY,3740.0
2017-11-03,SAIL.BO,Close,SELL,3740.0
2017-11-10,SBIN.NS,315.0,BUY,978.0
2017-11-10,SBIN.NS,Close,SELL,978.0
2017-12-07,BHARTIARTL.NS,445.3164978027344,BUY,696.0
2017-12-07,BHARTIARTL.NS,Close,SELL,696.0
2017-12-22,GSPL.NS,206.75,BUY,1512.0
2017-12-22,GSPL.NS,Close,SELL,1512.0
2018-02-05,BHARTIARTL.NS,383.5690002441406,BUY,826.0
2018-02-05,BHARTIARTL.NS,Close,SELL,826.0
2018-02-09,SAIL.BO,85.4000015258789,BUY,3717.0
2018-02-09,SAIL.BO,Close,SELL,3717.0
2018-03-20,SAIL.BO,68.30000305175781,BUY,4858.0
2018-03-20,SAIL.BO,Close,SELL,4858.0
2018-03-26,YESBANK.NS,286.5,BUY,1160.0
2018-03-26,YESBANK.NS,Close,SELL,1160.0
2018-04-03,JSWENERGY.BO,75.0,BUY,4459.0
2018-04-03,JSWENERGY.BO,Close,SELL,4459.0
2018-04-26,YESBANK.NS,327.95001220703125,BUY,1024.0
2018-04-26,YESBANK.NS,Close,SELL,1024.0
2018-05-22,DRREDDY.NS,1902.5,BUY,180.0
2018-05-22,DRREDDY.NS,Close,SELL,180.0
2018-05-28,JSWENERGY.BO,72.69999694824219,BUY,4733.0
2018-05-28,JSWENERGY.BO,Close,SELL,4733.0
2018-05-30,JSWENERGY.BO,76.0,BUY,4600.0
2018-05-30,JSWENERGY.BO,Close,SELL,4600.0
2018-06-07,SAIL.BO,78.0,BUY,4575.0
2018-06-07,SAIL.BO,Close,SELL,4575.0
2018-06-08,GSPL.NS,178.0500030517578,BUY,2012.0
2018-06-08,GSPL.NS,Close,SELL,2012.0
2018-07-30,BHARTIARTL.NS,329.62603759765625,BUY,1105.0
2018-07-30,BHARTIARTL.NS,Close,SELL,1105.0
2018-08-01,TATAMOTORS.NS,250.0,BUY,1478.0
2018-08-01,TATAMOTORS.NS,Close,SELL,1478.0
2018-08-24,JSWSTEEL.NS,336.04998779296875,BUY,1107.0
2018-08-24,JSWSTEEL.NS,Close,SELL,1107.0
2018-08-29,JSWSTEEL.NS,371.3999938964844,BUY,1005.0
2018-08-29,JSWSTEEL.NS,Close,SELL,1005.0
2018-09-06,GSPL.NS,184.5,BUY,2065.0
2018-09-06,GSPL.NS,Close,SELL,2065.0
2018-10-01,YESBANK.NS,180.0,BUY,2130.0
2018-10-01,YESBANK.NS,Close,SELL,2130.0
2018-10-08,RELIANCE.NS,1040.1405029296875,BUY,390.0
2018-10-08,YESBANK.NS,210.0,BUY,3.0
2018-10-08,RELIANCE.NS,Close,SELL,390.0
2018-10-08,YESBANK.NS,Close,SELL,3.0
2018-10-10,SBIN.NS,261.6000061035156,BUY,1559.0
2018-10-10,SAIL.BO,62.75,BUY,1.0
2018-10-10,SBIN.NS,Close,SELL,1559.0
2018-10-10,SAIL.BO,Close,SELL,1.0
2018-10-11,YESBANK.NS,222.0,BUY,1859.0
2018-10-11,YESBANK.NS,Close,SELL,1859.0
2018-10-24,BHARTIARTL.NS,266.271728515625,BUY,1593.0
2018-10-24,BHARTIARTL.NS,Close,SELL,1593.0
2018-10-29,SBIN.NS,250.0,BUY,1756.0
2018-10-29,SBIN.NS,Close,SELL,1756.0
2018-11-01,YESBANK.NS,192.0,BUY,2327.0
2018-11-01,YESBANK.NS,Close,SELL,2327.0
2018-11-09,YESBANK.NS,214.0,BUY,2108.0
2018-11-09,YESBANK.NS,Close,SELL,2108.0
2018-11-16,BHARTIARTL.NS,278.1162414550781,BUY,1641.0
2018-11-16,BHARTIARTL.NS,Close,SELL,1641.0
2018-12-11,YESBANK.NS,164.5,BUY,2896.0
2018-12-11,YESBANK.NS,Close,SELL,2896.0
2018-12-28,SAIL.BO,51.849998474121094,BUY,9437.0
2018-12-28,SAIL.BO,Close,SELL,9437.0
2019-01-14,YESBANK.NS,185.0,BUY,2658.0
2019-01-14,YESBANK.NS,Close,SELL,2658.0
2019-01-24,YESBANK.NS,199.0,BUY,2478.0
2019-01-24,YESBANK.NS,Close,SELL,2478.0
2019-02-14,YESBANK.NS,186.35000610351562,BUY,2722.0
2019-02-14,YESBANK.NS,Close,SELL,2722.0
2019-02-18,YESBANK.NS,201.0,BUY,2846.0
2019-02-18,YESBANK.NS,Close,SELL,2846.0
2019-02-26,TATAMOTORS.NS,173.0,BUY,3338.0
2019-02-26,TATAMOTORS.NS,Close,SELL,3338.0
2019-03-01,SAIL.BO,49.0,BUY,11820.0
2019-03-01,SAIL.BO,Close,SELL,11820.0
2019-03-05,TATAMOTORS.NS,183.8000030517578,BUY,3201.0
2019-03-05,TATAMOTORS.NS,Close,SELL,3201.0
2019-03-11,BHARTIARTL.NS,283.7630310058594,BUY,2079.0
2019-03-11,BHARTIARTL.NS,Close,SELL,2079.0
2019-03-12,BHARTIARTL.NS,305.56976318359375,BUY,1981.0
2019-03-12,BHARTIARTL.NS,Close,SELL,1981.0
2019-03-27,JSWENERGY.BO,65.05000305175781,BUY,9348.0
2019-03-27,JSWENERGY.BO,Close,SELL,9348.0
2019-04-01,TATAMOTORS.NS,176.35000610351562,BUY,3459.0
2019-04-01,TATAMOTORS.NS,Close,SELL,3459.0
2019-04-02,TATAMOTORS.NS,188.0500030517578,BUY,3274.0
2019-04-02,TATAMOTORS.NS,Close,SELL,3274.0
2019-04-15,TATAMOTORS.NS,217.14999389648438,BUY,2907.0
2019-04-15,TATAMOTORS.NS,Close,SELL,2907.0
2019-05-02,YESBANK.NS,162.0,BUY,3951.0
2019-05-02,YESBANK.NS,Close,SELL,3951.0
2019-05-09,YESBANK.NS,158.0,BUY,4127.0
2019-05-09,YESBANK.NS,Close,SELL,4127.0
2019-05-14,BHARTIARTL.NS,316.0,BUY,2113.0
2019-05-14,BHARTIARTL.NS,Close,SELL,2113.0
2019-05-24,JSWENERGY.BO,66.5999984741211,BUY,10146.0
2019-05-24,JSWENERGY.BO,Close,SELL,10146.0
2019-06-20,YESBANK.NS,102.0,BUY,6785.0
2019-06-20,YESBANK.NS,Close,SELL,6785.0
2019-07-08,YESBANK.NS,87.0,BUY,8487.0
2019-07-08,YESBANK.NS,Close,SELL,8487.0
2019-07-16,TATAMOTORS.NS,159.8000030517578,BUY,4700.0
2019-07-16,TATAMOTORS.NS,Close,SELL,4700.0
2019-07-22,YESBANK.NS,83.30000305175781,BUY,9112.0
2019-07-22,YESBANK.NS,Close,SELL,9112.0
2019-07-26,TATAMOTORS.NS,138.10000610351562,BUY,5713.0
2019-07-26,YESBANK.NS,88.75,BUY,1.0
2019-07-26,TATAMOTORS.NS,Close,SELL,5713.0
2019-07-26,YESBANK.NS,Close,SELL,1.0
2019-07-31,YESBANK.NS,86.0,BUY,9287.0
2019-07-31,YESBANK.NS,Close,SELL,9287.0
2019-08-06,YESBANK.NS,80.9000015258789,BUY,9946.0
2019-08-06,YESBANK.NS,Close,SELL,9946.0
2019-08-09,LAURUSLABS.NS,64.0199966430664,BUY,12597.0
2019-08-09,LAURUSLABS.NS,Close,SELL,12597.0
2019-08-27,TATAMOTORS.NS,112.69999694824219,BUY,7263.0
2019-08-27,TATAMOTORS.NS,Close,SELL,7263.0
2019-09-04,SAIL.BO,30.450000762939453,BUY,27272.0
2019-09-04,SAIL.BO,Close,SELL,27272.0
2019-09-05,TATAMOTORS.NS,109.75,BUY,7613.0
2019-09-05,TATAMOTORS.NS,Close,SELL,7613.0
2019-09-11,TATAMOTORS.NS,127.0,BUY,6722.0
2019-09-11,YESBANK.NS,66.0,BUY,1.0
2019-09-11,TATAMOTORS.NS,Close,SELL,6722.0
2019-09-11,YESBANK.NS,Close,SELL,1.0
2019-09-20,RELIANCE.NS,1176.795166015625,BUY,729.0
2019-09-20,TATAMOTORS.NS,125.0,BUY,1.0
2019-09-20,SAIL.BO,32.099998474121094,BUY,1.0
2019-09-20,RELIANCE.NS,Close,SELL,729.0
2019-09-20,TATAMOTORS.NS,Close,SELL,1.0
2019-09-20,SAIL.BO,Close,SELL,1.0
2019-10-03,TATAMOTORS.NS,112.6500015258789,BUY,7640.0
2019-10-03,YESBANK.NS,35.20000076293945,BUY,2.0
2019-10-03,TATAMOTORS.NS,Close,SELL,7640.0
2019-10-03,YESBANK.NS,Close,SELL,2.0
2019-10-17,TATAMOTORS.NS,127.0999984741211,BUY,6990.0
2019-10-17,YESBANK.NS,41.900001525878906,BUY,1.0
2019-10-17,TATAMOTORS.NS,Close,SELL,6990.0
2019-10-17,YESBANK.NS,Close,SELL,1.0
2019-10-18,YESBANK.NS,46.599998474121094,BUY,19879.0
2019-10-18,SAIL.BO,33.599998474121094,BUY,1.0
2019-10-18,YESBANK.NS,Close,SELL,19879.0
2019-10-18,SAIL.BO,Close,SELL,1.0
2019-10-25,SBIN.NS,265.79998779296875,BUY,3652.0
2019-10-25,SBIN.NS,Close,SELL,3652.0
2019-10-27,TATAMOTORS.NS,139.5,BUY,7002.0
2019-10-27,TATAMOTORS.NS,Close,SELL,7002.0
2019-10-29,TATAMOTORS.NS,151.89999389648438,BUY,6468.0
2019-10-29,YESBANK.NS,54.349998474121094,BUY,1.0
2019-10-29,TATAMOTORS.NS,Close,SELL,6468.0
2019-10-29,YESBANK.NS,Close,SELL,1.0
2019-10-31,SBIN.NS,293.3500061035156,BUY,3612.0
2019-10-31,YESBANK.NS,56.099998474121094,BUY,1.0
2019-10-31,SBIN.NS,Close,SELL,3612.0
2019-10-31,YESBANK.NS,Close,SELL,1.0
2019-11-01,SAIL.BO,36.70000076293945,BUY,29212.0
2019-11-01,SAIL.BO,Close,SELL,29212.0
2019-11-04,YESBANK.NS,59.95000076293945,BUY,18053.0
2019-11-04,YESBANK.NS,Close,SELL,18053.0
2019-11-15,BHARTIARTL.NS,357.8500061035156,BUY,3170.0
2019-11-15,BHARTIARTL.NS,Close,SELL,3170.0
2019-11-20,YESBANK.NS,62.099998474121094,BUY,19063.0
2019-11-20,YESBANK.NS,Close,SELL,19063.0
2019-11-22,SAIL.BO,36.20000076293945,BUY,32943.0
2019-11-22,SAIL.BO,Close,SELL,32943.0
2019-11-25,BHARTIARTL.NS,421.3500061035156,BUY,2870.0
2019-11-25,BHARTIARTL.NS,Close,SELL,2870.0
2019-12-04,TATAMOTORS.NS,158.5,BUY,7766.0
2019-12-04,YESBANK.NS,58.54999923706055,BUY,2.0
2019-12-04,TATAMOTORS.NS,Close,SELL,7766.0
2019-12-04,YESBANK.NS,Close,SELL,2.0
2019-12-12,TATAMOTORS.NS,163.4499969482422,BUY,7647.0
2019-12-12,TATAMOTORS.NS,Close,SELL,7647.0
2019-12-19,YESBANK.NS,46.0,BUY,27377.0
2019-12-19,YESBANK.NS,Close,SELL,27377.0
2020-01-02,SAIL.BO,44.0,BUY,29495.0
2020-01-02,SAIL.BO,Close,SELL,29495.0
2020-01-23,YESBANK.NS,38.54999923706055,BUY,34344.0
2020-01-23,YESBANK.NS,Close,SELL,34344.0
2020-01-27,DRREDDY.NS,3029.0,BUY,441.0
2020-01-27,DRREDDY.NS,Close,SELL,441.0
2020-02-05,TATAMOTORS.NS,167.39999389648438,BUY,7982.0
2020-02-05,YESBANK.NS,35.099998474121094,BUY,1.0
2020-02-05,TATAMOTORS.NS,Close,SELL,7982.0
2020-02-05,YESBANK.NS,Close,SELL,1.0
2020-03-05,YESBANK.NS,29.399999618530273,BUY,47395.0
2020-03-05,YESBANK.NS,Close,SELL,47395.0
2020-03-06,SAIL.BO,31.100000381469727,BUY,53277.0
2020-03-06,SAIL.BO,Close,SELL,53277.0
2020-03-09,YESBANK.NS,17.0,BUY,98101.0
2020-03-09,YESBANK.NS,Close,SELL,98101.0
2020-03-11,YESBANK.NS,23.350000381469727,BUY,84814.0
2020-03-11,YESBANK.NS,Close,SELL,84814.0
2020-03-13,DRREDDY.NS,2729.949951171875,BUY,850.0
2020-03-13,SAIL.BO,23.75,BUY,2.0
2020-03-13,DRREDDY.NS,Close,SELL,850.0
2020-03-13,SAIL.BO,Close,SELL,2.0
2020-03-16,YESBANK.NS,26.700000762939453,BUY,87257.0
2020-03-16,YESBANK.NS,Close,SELL,87257.0
2020-03-17,YESBANK.NS,40.79999923706055,BUY,75377.0
2020-03-17,YESBANK.NS,Close,SELL,75377.0
2020-03-19,BHARTIARTL.NS,416.45001220703125,BUY,10084.0
2020-03-19,BHARTIARTL.NS,Close,SELL,10084.0
2020-03-20,DRREDDY.NS,2641.0,BUY,1613.0
2020-03-20,RELIANCE.NS,930.6781005859375,BUY,1.0
2020-03-20,DRREDDY.NS,Close,SELL,1613.0
2020-03-20,RELIANCE.NS,Close,SELL,1.0
2020-03-23,GSPL.NS,151.8000030517578,BUY,29253.0
2020-03-23,JSWENERGY.BO,40.25,BUY,1.0
2020-03-23,GSPL.NS,Close,SELL,29253.0
